STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/1/2024,4.7,,,,0,0,0,66,80,50,,250,280,15,23.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/2/2024,8.72,,,,0.63,0,0,68,75,60,,260,260,31.1,59.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/3/2024,7.61,,,,0.41,0,0,56,62,41,,250,250,21.9,36
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/4/2024,11.18,,,,0.29,0,0,41,45,37,,220,280,21.9,46.1
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/5/2024,7.61,,,,0.05,0,0,40,45,36,,330,320,18.1,28
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/6/2024,4.7,,,,0,0,0,43,52,36,,310,320,13,19
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/7/2024,2.01,,,,0,0,0,47,67,30,,60,60,12.1,17
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/8/2024,6.26,,,,0,0,0,60,77,47,,200,250,16.1,23.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/9/2024,5.37,,,,0,0,0,63,71,53,,180,190,21,25.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/10/2024,3.36,,,,0.05,0,0,61,70,57,,170,170,10.1,16.1
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/11/2024,8.5,,,,3.32,0,0,67,75,54,,170,300,23,40.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/12/2024,12.3,,,,0.27,0,0,53,54,48,,250,240,25.1,38.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/13/2024,8.5,,,,0,0,0,55,67,48,,300,280,21.9,38.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/14/2024,9.17,,,,0,0,0,62,84,41,,230,260,25.1,40
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/15/2024,7.83,,,,0,0,0,76,87,66,,240,250,17,25.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/16/2024,3.8,,,,0.09,0,0,71,86,57,,150,140,18.1,28
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/17/2024,10.29,,,,0.01,0,0,72,84,61,,210,220,30,46.1
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/18/2024,2.91,,,,0,0,0,71,82,56,,340,310,14.1,19.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/19/2024,4.47,,,,0.03,0,0,62,75,53,,310,300,17,29.1
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/20/2024,6.71,,,,0,0,0,58,67,48,,260,260,21,36
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/21/2024,4.03,,,,0,0,0,50,57,40,,320,280,14.1,23.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/22/2024,2.24,,,,0,0,0,47,64,31,,220,230,14.1,21
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/23/2024,6.71,,,,0.06,0,0,54,74,36,,260,240,23.9,38.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/24/2024,6.71,,,,0.13,0,0,61,70,49,,330,320,14.1,23.9
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/25/2024,2.46,,,,0,0,0,52,66,39,,10,360,8.9,17
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/26/2024,6.49,,,,0,0,0,58,79,39,,200,160,18.1,27.1
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/27/2024,6.04,,,,0,0,0,71,82,61,,220,190,16.1,28
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/28/2024,2.68,,,,0,0,0,70,86,55,,220,230,14.1,21
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/29/2024,2.24,,,,0,0,0,71,87,55,,190,220,12.1,18.1
USW00013866,"CHARLESTON WEST VIRGINIA INTERNATIONAL YEAGER AIRPORT, WV US",4/30/2024,4.03,,,,0.03,0,0,66,73,58,,210,210,15,21
